english,raw steno
b,PW
c (soft),KR
ch,KH
d,TK
f,TP
g,TKPW
h,H
j,SKWR
k,K
l,HR
m,PH
n,TPH
p,P
qu,KW
r,R
s,S
t,T
v,SR
w,W
y,KWR
z,S*
short a,A
long a,AEU
aw,AU
short e,E
long e,AOE
short i,EU
long i,AOEU
short o,O
long o,OE
oi,OEU
oo,AO
ou,OU
short u,U
long u,AOU
b,B
ch,FP
d,D
dz,DZ
f,F
g,G
j,PBLG
k,BG
l,L
m,PL
mp,FRP
n,PB
ng,PBG
nj,PBG
nk,*PBG
p,P
r,R
rch,FRPB
rf,FRB
rv,FRB
s,S
sh,RB
t,T
v,*F
x,BGS
z,Z
shun,GS
kshun,*BGS
Period,FPLT
Comma,RBGS
Question mark,STPH
New paragraph,PF
Correction (asterisk),*
